iter	Passed	Remaining
0	132	132451
1	133	66749
2	134	44821
3	136	33921
4	137	27426
5	138	23005
6	139	19851
7	141	17484
8	142	15643
9	143	14192
10	144	13003
11	145	12003
12	147	11195
13	149	10530
14	150	9887
15	151	9325
16	152	8827
17	153	8387
18	155	8037
19	157	7696
20	159	7436
21	161	7192
22	163	6929
23	164	6685
24	165	6464
25	167	6266
26	168	6087
27	171	5962
28	174	5827
29	175	5678
30	176	5528
31	178	5389
32	179	5260
33	181	5157
34	184	5075
35	186	4995
36	187	4889
37	189	4786
38	190	4690
39	191	4607
40	196	4593
41	199	4545
42	200	4468
43	202	4399
44	203	4321
45	204	4249
46	206	4191
47	209	4149
48	211	4095
49	214	4067
50	215	4013
51	219	3996
52	222	3975
53	225	3946
54	226	3898
55	228	3852
56	230	3805
57	231	3761
58	234	3739
59	236	3705
60	238	3666
61	239	3620
62	240	3579
63	241	3537
64	243	3495
65	244	3458
66	246	3429
67	247	3390
68	250	3381
69	252	3356
70	253	3323
71	255	3296
72	259	3298
73	262	3284
74	263	3252
75	265	3222
76	266	3192
77	267	3162
78	269	3139
79	271	3125
80	313	3561
81	315	3527
82	316	3494
83	317	3463
84	318	3428
85	320	3404
86	324	3402
87	325	3375
88	327	3348
89	329	3333
90	333	3332
91	335	3313
92	338	3303
93	340	3279
94	342	3265
95	344	3241
96	347	3233
97	349	3217
98	352	3204
99	353	3184
100	355	3161
101	355	3134
102	359	3128
103	360	3108
104	362	3088
105	363	3066
106	364	3046
107	366	3025
108	369	3017
109	371	3008
110	373	2995
111	375	2977
112	376	2958
113	378	2940
114	381	2935
115	385	2938
116	386	2919
117	388	2902
118	389	2881
119	390	2865
120	398	2894
121	399	2878
122	400	2856
123	401	2839
124	402	2820
125	404	2804
126	405	2787
127	407	2773
128	411	2779
129	413	2767
130	414	2751
131	416	2736
132	417	2721
133	422	2728
134	424	2719
135	425	2704
136	427	2689
137	428	2673
138	429	2659
139	432	2659
140	436	2659
141	437	2645
142	439	2631
143	440	2617
144	441	2603
145	442	2590
146	450	2614
147	452	2602
148	453	2588
149	454	2574
150	455	2561
151	457	2550
152	459	2542
153	460	2531
154	462	2519
155	463	2507
156	465	2498
157	467	2490
158	470	2490
159	472	2480
160	473	2468
161	475	2459
162	477	2452
163	479	2446
164	482	2441
165	484	2434
166	485	2423
167	487	2414
168	488	2402
169	489	2391
170	490	2380
171	493	2375
172	495	2368
173	496	2359
174	498	2348
175	499	2338
176	500	2328
177	501	2318
178	503	2308
179	507	2312
180	508	2302
181	510	2293
182	511	2285
183	513	2275
184	514	2268
185	518	2269
186	522	2269
187	523	2262
188	525	2255
189	526	2246
190	528	2238
191	532	2240
192	536	2245
193	538	2237
194	539	2228
195	541	2220
196	546	2226
197	548	2222
198	550	2214
199	552	2209
200	553	2200
201	554	2191
202	564	2214
203	565	2207
204	567	2198
205	568	2190
206	569	2182
207	574	2185
208	575	2179
209	577	2171
210	578	2162
211	579	2154
212	580	2146
213	584	2147
214	587	2146
215	589	2138
216	590	2131
217	591	2123
218	593	2117
219	597	2117
220	599	2114
221	601	2106
222	602	2098
223	603	2090
224	605	2085
225	608	2083
226	612	2085
227	613	2078
228	615	2071
229	616	2063
230	618	2058
231	622	2060
232	625	2059
233	626	2052
234	628	2044
235	629	2037
236	630	2030
237	632	2026
238	635	2022
239	637	2019
240	639	2012
241	640	2006
242	642	2000
243	643	1993
244	648	1998
245	650	1995
246	652	1988
247	653	1982
248	656	1980
249	658	1976
250	660	1970
251	661	1964
252	663	1960
253	665	1953
254	667	1951
255	669	1946
256	671	1940
257	673	1936
258	674	1930
259	676	1924
260	679	1925
261	682	1923
262	683	1916
263	685	1909
264	686	1903
265	687	1897
266	688	1890
267	690	1887
268	694	1887
269	696	1881
270	698	1878
271	700	1873
272	701	1868
273	704	1867
274	707	1866
275	709	1861
276	711	1856
277	712	1850
278	713	1845
279	719	1849
280	721	1845
281	722	1839
282	723	1833
283	725	1828
284	726	1822
285	731	1825
286	733	1822
287	734	1816
288	736	1811
289	737	1805
290	739	1800
291	741	1799
292	744	1797
293	746	1792
294	747	1786
295	749	1781
296	750	1776
297	755	1780
298	758	1777
299	759	1771
300	760	1767
301	762	1761
302	763	1755
303	764	1749
304	770	1754
305	773	1753
306	774	1747
307	775	1741
308	776	1736
309	777	1730
310	778	1724
311	781	1722
312	784	1721
313	785	1716
314	787	1711
315	788	1706
316	789	1702
317	793	1702
318	796	1700
319	798	1695
320	799	1690
321	800	1685
322	802	1681
323	806	1683
324	809	1680
325	810	1676
326	811	1671
327	813	1667
328	815	1662
329	816	1657
330	820	1657
331	822	1655
332	823	1650
333	825	1645
334	826	1640
335	827	1635
336	828	1630
337	832	1631
338	835	1629
339	838	1626
340	839	1622
341	840	1617
342	844	1617
343	846	1614
344	848	1610
345	849	1606
346	851	1602
347	853	1598
348	855	1595
349	857	1592
350	859	1588
351	861	1585
352	862	1580
353	863	1576
354	865	1571
355	870	1574
356	873	1573
357	874	1568
358	876	1564
359	878	1560
360	879	1557
361	882	1555
362	884	1552
363	886	1548
364	887	1544
365	889	1540
366	890	1535
367	891	1531
368	895	1531
369	897	1528
370	898	1523
371	900	1520
372	901	1515
373	903	1511
374	904	1507
375	909	1509
376	912	1507
377	913	1502
378	914	1498
379	915	1494
380	919	1493
381	922	1492
382	924	1488
383	925	1484
384	927	1480
385	928	1476
